,correlation,difference,fraction receiving evidence,n_agents,n_evidence,n_iterations,risk,trust
191,0.8982162752805268,0.015752048638646654,0.75,50,10,50,0.5,0.5
192,0.8602240611787404,0.1091197462331482,0.75,50,10,50,0.7,0.7
193,0.887940996797503,0.1892307692307694,0.75,50,10,50,0.7,0.7
194,0.9104497949099134,0.05416720983068938,0.75,50,10,50,0.7,0.7
195,0.6705900966225821,0.15421358710018537,0.75,50,10,50,0.7,0.7
196,0.9278484054788402,0.0641489413720599,0.75,50,10,50,1.0,1.0
197,0.5011016696721874,0.11923076923076936,0.75,50,10,50,1.0,1.0
198,0.47285066832335754,0.3258974358974363,0.75,50,10,50,1.0,1.0
199,0.7186147579742856,0.26279949558638127,0.75,50,10,50,1.0,1.0
200,0.7362082539340918,0.30216450216450225,0.1,50,20,50,0.0,0.0
201,0.39153317370620466,0.20787878787878786,0.1,50,20,50,0.0,0.0
202,0.5042833658286915,0.2390909090909089,0.1,50,20,50,0.0,0.0
203,0.4142991744956419,0.1938095238095238,0.1,50,20,50,0.0,0.0
204,0.7868453101595781,0.3643306589536622,0.1,50,20,50,0.3,0.3
205,0.6608193222688957,0.34323737498780815,0.1,50,20,50,0.3,0.3
206,0.6601201100961593,0.17761904761904757,0.1,50,20,50,0.3,0.3
207,0.7492557325728441,0.10454545454545461,0.1,50,20,50,0.3,0.3
208,0.8419065851714244,0.2558551887277588,0.1,50,20,50,0.5,0.5
209,0.6505472907692492,0.10835497835497825,0.1,50,20,50,0.5,0.5
210,0.5557474646329047,0.34659111946368965,0.1,50,20,50,0.5,0.5
211,0.6615099428382379,0.22537899825156837,0.1,50,20,50,0.5,0.5
212,0.694279582342452,0.17333322703785026,0.1,50,20,50,0.7,0.7
213,0.20182064712380807,0.2009523809523809,0.1,50,20,50,0.7,0.7
214,0.618236311857661,0.22406915777378109,0.1,50,20,50,0.7,0.7
215,0.1975476172318151,0.185021645021645,0.1,50,20,50,0.7,0.7
216,0.6338550889006368,0.25883116883116875,0.1,50,20,50,1.0,1.0
217,0.6386558067355211,0.14290043290043267,0.1,50,20,50,1.0,1.0
218,0.14087632443567352,0.3038095238095239,0.1,50,20,50,1.0,1.0
219,0.18486686105151814,0.20204566491823495,0.1,50,20,50,1.0,1.0
220,0.8795262642563881,0.2688311688311689,0.25,50,20,50,0.0,0.0
221,0.828807915961406,0.12154906329949655,0.25,50,20,50,0.0,0.0
222,0.8253659547211806,0.19537899825156843,0.25,50,20,50,0.0,0.0
223,0.8020739598009939,0.1315490632994963,0.25,50,20,50,0.0,0.0
224,0.9124757820538995,0.2569076504085168,0.25,50,20,50,0.3,0.3
